CBIMNCI,CBIMCI-(2-59Months)-Treatment-Vit A,iJzkUTWNH5a
CBIMNCI,CBIMCI-(2-59Months)-Treatment-Other Antibiotics,RR9YSQg5sSY
CBIMNCI,CBIMCI-(2-59Months)-Treatment-ORS only,MJiU6ePJ2HS
CBIMNCI,CBIMCI-(2-59Months)-Treatment-ORS & Zinc,H3GSFHu9DMV
CBIMNCI,CBIMCI-(2-59Months)-Treatment-IV Fluids,PbkNwfEqhmR
CBIMNCI,CBIMCI-(2-59Months)-Treatment-Cotrim Paediatrics,JTvcGjQS1u4
CBIMNCI,CBIMCI-(2-59Months)-Treatment-Antehelminthes,B713onHvu2I
CBIMNCI,CBIMCI-(2-59Months)-Treatment-Amoxicillin,C2QpFPSO3cn
CBIMNCI,CBIMCI-(2-59Months)-Total Sick Children,QRCtcop84In
CBIMNCI,CBIMCI-(2-59Months)-Refer-Others,z8fdZad32Pv
CBIMNCI,CBIMCI-(2-59Months)-Refer-Diarrhoea,CIO7DFOzXSy
CBIMNCI,CBIMCI-(2-59Months)-Refer-ARI,cvo4qh1QkTA
CBIMNCI,CBIMCI-(2-59Months)-Other,YuNB9v6cf3x
CBIMNCI,CBIMCI-(2-59Months)-Follow-Up,ri3xWgIHsw1
CBIMNCI,CBIMCI-(2-59Months)-Expenditure-Zinc Tab,BUnrqxwoHIp
CBIMNCI,CBIMCI-(2-59Months)-Expenditure-ORS Pkts,iH5AHTmtx3q
CBIMNCI,CBIMCI-(2-59Months)-Death-Others,upTQ8ZYfzRq
CBIMNCI,CBIMCI-(2-59Months)-Death-Diarrhoea,jfa1GkNMHfz
CBIMNCI,CBIMCI-(2-59Months)-Death-ARI,R6GsecvoH7c
CBIMNCI,CBIMCI-(2-59Months)-Classification-Very Serious Febrile Disease,IM6lK8Mf0q1
CBIMNCI,CBIMCI-(2-59Months)-Classification-Severe Malnutrition,v42lkXexjFS
CBIMNCI,CBIMCI-(2-59Months)-Classification-Other Fever,IXYmLRVEHc2
CBIMNCI,CBIMCI-(2-59Months)-Classification-Measles,fZEiEvVrr5K
CBIMNCI,CBIMCI-(2-59Months)-Classification-Malaria-Non Falciparum,RByUk9PhqrG
CBIMNCI,CBIMCI-(2-59Months)-Classification-Malaria-Falciparum,g4gt5htFQEZ
CBIMNCI,CBIMCI-(2-59Months)-Classification-Ear Infection,o9sqrRiJzrZ
CBIMNCI,CBIMCI-(2-59Months)-Classification-Diarrhoea-Some Dehydration,SlIi0mTWXte
CBIMNCI,CBIMCI-(2-59Months)-Classification-Diarrhoea-Severe Dehydration,Z7hy1EP2KW5
CBIMNCI,CBIMCI-(2-59Months)-Classification-Diarrhoea-Prolonged Diarrhoea,KZzKMkn4H7q
CBIMNCI,CBIMCI-(2-59Months)-Classification-Diarrhoea-No Dehydration,A2lsvQ94qw5
CBIMNCI,CBIMCI-(2-59Months)-Classification-Diarrhoea-Dysentery,sAdwOfXe6Ld
CBIMNCI,CBIMCI-(2-59Months)-Classification-ARI-Severe Pneu/Very Severe Disease,KcPFNbB3UZg
CBIMNCI,CBIMCI-(2-59Months)-Classification-ARI-Pneumonia,GGkot8wSlCj
CBIMNCI,CBIMCI-(2-59Months)-Classification-ARI-No Pneumonia,GC6lQSFDO5m
CBIMNCI,CBIMCI-(2-59Months)-Classification-Anaemia,jg3YHWsBweg
CBIMNCI,CBIMCI <2Months-Treatment-Gentamycin Complementry dose,Q5YnsomfHvO
CBIMNCI,CBIMCI <2Months-Treatment-Gentamycin 1st Dose,fK36K8WBX9s
CBIMNCI,CBIMCI <2Months-Treatment-Cotrim Paediatrics,Fvq8iT4O1Z4
CBIMNCI,CBIMCI <2Months-Treatment-Ampicillin Paediatrics,lfjCh0FyKSc
CBIMNCI,CBIMCI <2Months-Treatment-Amoxicillin Paediatrics,zxN7niCGtSh
CBIMNCI,CBIMCI <2Months-Total Death,adiGRH9XgjW
CBIMNCI,CBIMCI <2Months-Total Cases,UbOzhGOJdrq
CBIMNCI,CBIMCI <2Months-Refer Cases,kqspOhPReRm
CBIMNCI,CBIMCI <2Months-ORC-Treatment-Gentamycin Comp. dose,dblWFA8Shvk
CBIMNCI,CBIMCI <2Months-Follow-Up,WoIzHgdHUjE
CBIMNCI,CBIMCI <2Months-Facility-Treatment-Other Antibiotics ,TwMrwcnwuSO
CBIMNCI,CBIMCI <2Months-Classification-PSBI Cases,ISzvhZycG3z
CBIMNCI,CBIMCI <2Months-Classification-Low Weight/Feeding Problem â‰¤28 days,fmCWNnmldW4
CBIMNCI,CBIMCI <2Months-Classification-Low Weight/Feeding Problem 29-59 days,aFgNWKMgYz9
CBIMNCI,CBIMCI <2Months-Classification-LBI Cases,YXIPqFIPsjg
CBIMNCI,CBIMCI <2Months-Classification-Jaundice Cases,IDbh8WJcQsP
CBIMNCI,CBIMCI <2Months-Classification-Hypothermia Cases,CsV4VdxL0zz
Family Planning,Family Planning Program-Temporary FP Method-Pills-New Users â‰¥20 Years,zUPRuBqSSgY
Family Planning,Family Planning Program-Temporary FP Method-Pills-New Users <20 Years,oCqILrkoRPB
Family Planning,Family Planning Program-Temporary FP Method-Pills-Discontinued/Removed,fPdwKS6tcyn
Family Planning,Family Planning Program-Temporary FP Method-Pills-Cycle Qty,xcM0TtsUYQr
Family Planning,Family Planning Program-Temporary FP Method-Pills-Current User,Mg77ZuyM6fe
Family Planning,Family Planning Program-Temporary FP Method-IUCD-Set Qty,oj5Bk35Tqb7
Family Planning,Family Planning Program-Temporary FP Method-IUCD-New Users â‰¥20 Years,DwOKj8SLOtF
Family Planning,Family Planning Program-Temporary FP Method-IUCD-New Users <20 Years,SujVjgXHP72
Family Planning,Family Planning Program-Temporary FP Method-IUCD-Discontinued/Removed,eeTiOM51Tbq
Family Planning,Family Planning Program-Temporary FP Method-IUCD-Current User,wJ0d4pvhud7
Family Planning,Family Planning Program-Temporary FP Method-Implant-New Users â‰¥20 Years,d80NCjU1iPK
Family Planning,Family Planning Program-Temporary FP Method-Implant-New Users <20 Years,CuRbZM8HWyR
Family Planning,Family Planning Program-Temporary FP Method-Implant-Discontinued/Removed,UGdWSivv6AA
Family Planning,Family Planning Program-Temporary FP Method-Implant-Current User,vaRoCnJ7Xwl
Family Planning,Family Planning Program-Temporary FP Method-Depo-New Users â‰¥20 Years,FCqWVnEwIeX
Family Planning,Family Planning Program-Temporary FP Method-Depo-New Users <20 Years,AnmhKKJgX2G
Family Planning,Family Planning Program-Temporary FP Method-Depo-Doze Qty,KuXdIzVAOZ2
Family Planning,Family Planning Program-Temporary FP Method-Depo-Discontinued/Removed,gn4hsUJEG7c
Family Planning,Family Planning Program-Temporary FP Method-Depo-Current User,tobLk0FbS9k
Family Planning,Family Planning Program-Temporary FP Method-Condom-Pieces Qty,XcWK8DnxZgE
Family Planning,Family Planning Program-Postpartum FP Acceptors (Within 48 Hours of Delivery)-Tubectomy,hVwCP5NLK04
Family Planning,Family Planning Program-Postpartum FP Acceptors (Within 48 Hours of Delivery)-IUCD,uTtWya0epbQ
Family Planning,Family Planning Program-Postpartum FP Acceptors (Within 48 Hours of Delivery)-Implant,U2Kn6TMzAO3
Family Planning,Family Planning Program-Permanent FP Method-New Users at Public Facility,A2Tt6FTOdyw
Family Planning,Family Planning Program-Permanent FP Method-New Users at Public Camp,DeP1QtNtDxP
Family Planning,Family Planning Program-Permanent FP Method-New Users at Non Public Facility,vX8EiOWYa5P
Family Planning,Family Planning Program-Permanent FP Method-New Users at Non Public Camp,xHFh1tfpj3g
Family Planning,Family Planning Program-Permanent FP Method-Current Users Non Public Facility,RnZCECv5Kvf
Family Planning,Family Planning Program-Permanent FP Method-Current Users at Public Facility,lPDmcklspNe
Family Planning,Family Planning Program-Implant-Set Qty,lAq7cpHVSFT
FCHV,Total no.of FCHVs Report submitted,Lix74hdpuwt
FCHV,Total FCHVs within Catchment Area,CfKB0tK9q3M
FCHV,IYCF & BVCPP-Age(6-11  Month)-First time-FCHV,Uv1mfVzdQPT
FCHV,IYCF & BVCPP-Age(18-23  Month)-Third time-FCHV,ZreLpnzs7C2
FCHV,IYCF & BVCPP-Age(18-23  Month)-Second time-FCHV,NEFIlX1povw
FCHV,IYCF & BVCPP-Age(18-23  Month)-First time-FCHV,ZZGa9fiBKmc
FCHV,IYCF & BVCPP-Age(12-17  Month)-Second time-FCHV,Xl1eVNX0C1D
FCHV,IYCF & BVCPP-Age(12-17  Month)-First time-FCHV,Z1a49yZVRgK
FCHV,Health Facilities within Catchment Area-FCHVs-People Served,GvdBFMcPVox
FCHV,FCHVs Received Free Health Services in OPD,SIODC3GmBPx
FCHV,FCHVs Received Free Health Services in IPD,brA0o59G66l
FCHV,FCHVs Received Free Health Services in Emergency,YLBxlWQ2Ji5
FCHV,FCHVs Received Free Health Services at Referred Out,pF1Mv020yUl
FCHV,FCHVs Received Free Health Services at Referral In,jLNi2XFY2oF
FCHV,FCHV-IMAM-MUAC-Screening-Oedema,pTXq7orydD1
FCHV,FCHV-IMAM-HH visit & Monitoring-Red-Stagnating or Decreased Weight,j3F7YDajCsv
FCHV,FCHV-IMAM-HH visit & Monitoring-Red-Cured Children After Treatment,Ihx8Sa1A318
FCHV,FCHV-IMAM-HH visit & Monitoring-Red-Absent of Defaulting,EEpOk6EXFMx
FCHV,FCHV-IMAM -MUAC-Screening-Yellow-MAM,C2gBSEWpf3L
FCHV,FCHV-IMAM -MUAC-Screening-Green-Normal,EsCPjTBWz8T
FCHV,FCHV Program-SMH/FP-Visits Made to Pregnant Women,nWEjVzYabxb
FCHV,FCHV Program-SMH/FP-Pregnant Women given Iron Tablets,VjUyOXbOwK4
FCHV,FCHV Program-SMH/FP-Pills Cycles Distribution,OVxTAODPN7V
FCHV,FCHV Program-SMH/FP-No. of Condoms Pieces Distribution,SkEOOFu6qvF
FCHV,FCHV Program-SMH/FP-Meetings Held of Mothers Group,AYPkr75uwtk
FCHV,FCHV Program-SMH/FP-Home Delivery-visit-newborn& PP Mothers-7th day of Birth,Jxbyq0CS8wP
FCHV,FCHV Program-SMH/FP-Home Delivery-visit-newborn& PP Mothers- â‰¤24 hours of Birth,obTmOIfSlSU
FCHV,FCHV Program-SMH/FP-Home Delivery-visit-newborn& PP Mothers- 3rd day of Birth,hW9geiK2aVp
FCHV,FCHV Program-SMH/FP-Home Delivery-Very Low Birth Weight,XHJ8keHRytO
FCHV,FCHV Program-SMH/FP-Home Delivery-Total Still Birth,KM8WJOfqXie
FCHV,FCHV Program-SMH/FP-Home Delivery-Total Live Birth,qMrwlLUqjvZ
FCHV,FCHV Program-SMH/FP-Home Delivery-Skin to Skin Contact after Birth,bEzUYIQWGAe
FCHV,FCHV Program-SMH/FP-Home Delivery-Low Birth Weight,zbyQmvD2eg9
FCHV,FCHV Program-SMH/FP-Home Delivery-Ensure Mesoprostol Tablets Taken,WzjbqNgppxu
FCHV,FCHV Program-SMH/FP-Home Delivery-Chlorhexidine applied in cord,HrKXjEzkxgC
