P03,Province 3,D35,35 CHITAWAN,LB382,D35 Rapti Municipality,338208,D35-Rapti 08,46876,11261,BIRENDRANAGAR HP_CHITAWAN,HEALTH POST,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB382,D35 Rapti Municipality,338210,D35-Rapti 10,46913,11288,KORAK HP_CHITAWAN,HEALTH POST,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB382,D35 Rapti Municipality,338212,D35-Rapti 12,46916,11290,LOTHAR HP_CHITAWAN,HEALTH POST,MINISTRY OF HEALTH,RURAL,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB382,D35 Rapti Municipality,338213,D35-Rapti 13,46966,11330,WASWANG HP_CHITAWAN,HEALTH POST,MINISTRY OF HEALTH,RURAL,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB381,D35 Ratnanagar Municipality,338102,D35-Ratnanagar 02,46869,11255,BAKULAHAR HOSPITAL_CHITAWAN,GENERAL HOSPITAL,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB381,D35 Ratnanagar Municipality,338106,D35-Ratnanagar 06,265788,,Communty Health Unit Ratnanagar 18 Chitwan,COMMUNITY HEALTH UNIT,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB381,D35 Ratnanagar Municipality,338107,D35-Ratnanagar 07,46867,11253,BACHHYAULI HP_CHITAWAN,HEALTH POST,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB381,D35 Ratnanagar Municipality,338112,D35-Ratnanagar 12,46938,11308,PANCHAKANYA HP CHITAWAN_CHITAWAN,HEALTH POST,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB381,D35 Ratnanagar Municipality,338114,D35-Ratnanagar 14,46943,11313,PITHUWA HP_CHITAWAN,HEALTH POST,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB377,D35 Bharatpur Metropolitican City,2103,GUNJANAGAR,266060,,Urban Health Unit Sashi Nagar Gunganagar Chitwan,URBAN HEALTH CENTRE,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB377,D35 Bharatpur Metropolitican City,2106,KABILAS-CHITAWAN,265766,,Communty Health Unit  Chaukidada Kabilas VDC Chitwan,COMMUNITY HEALTH UNIT,MINISTRY OF HEALTH,RURAL,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB382,D35 Rapti Municipality,2110,KORAK,265784,,"Community Health Unit Khahare, Korak VDC Chitwan",COMMUNITY HEALTH UNIT,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB380,D35 Madi Municipality,2113,MADIKALYANPUR,266067,,Urban Health Unit Radhapur Madi NP Chitwan,URBAN HEALTH CENTRE,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB380,D35 Madi Municipality,2113,MADIKALYANPUR,266074,,Urban Health Unit Tamta Madi Chitwan,URBAN HEALTH CENTRE,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB381,D35 Ratnanagar Municipality,2121,RATNANAGAR MUNICIPALITY,46905,15866,Jirauna Urban Health Center_ Chitwan,URBAN HEALTH CENTRE,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P03,Province 3,D35,35 CHITAWAN,LB381,D35 Ratnanagar Municipality,2121,RATNANAGAR MUNICIPALITY,266054,,Urban Health Unit Tarauli R.N.P Chitwan,URBAN HEALTH CENTRE,MINISTRY OF HEALTH,URBAN,FLAT,PUBLIC
P04,Province 4,D36,36 GORKHA,LB389,D36 Aarughat Rural Municipality,438901,D36-Aarughat 01,47009,11938,KERAUJA (MANBU) HP_GORKHA,HEALTH POST,MINISTRY OF HEALTH,RURAL,HILL,PUBLIC
P04,Province 4,D36,36 GORKHA,LB389,D36 Aarughat Rural Municipality,438904,D36-Aarughat 04,47054,11979,THUMI HP_GORKHA,HEALTH POST,MINISTRY OF HEALTH,RURAL,HILL,PUBLIC
P04,Province 4,D36,36 GORKHA,LB389,D36 Aarughat Rural Municipality,438905,D36-Aarughat 05,46970,11900,AARUARBANG HP_GORKHA,HEALTH POST,MINISTRY OF HEALTH,RURAL,HILL,PUBLIC
