223506,D32-Paroha 07,D32-Paroha 07,KTJgJzxayUY,5,
223507,D32-Paroha 08,D32-Paroha 08,iUiUBERmCw4,5,
223508,D32-Paroha 09,D32-Paroha 09,UhvwPuJ4dxD,5,
222309,D32-Rajdevi 06,D32-Rajdevi 06,ixWQ4mKacmC,5,
222312,D32-Rajdevi 07,D32-Rajdevi 07,e7ckrockZpc,5,
222311,D32-Rajdevi 08,D32-Rajdevi 08,VBfoGg5OQtP,5,
222310,D32-Rajdevi 09,D32-Rajdevi 09,yKmPXnUCJtK,5,
223601,D32-Rajpur 01,D32-Rajpur 01,PD59ghQzX1g,5,
223602,D32-Rajpur 02,D32-Rajpur 02,OSr6dL2gwMp,5,
223603,D32-Rajpur 03,D32-Rajpur 03,GZYUrR91q8n,5,
223604,D32-Rajpur 04,D32-Rajpur 04,m9drebkxZ5s,5,
223605,D32-Rajpur 05,D32-Rajpur 05,kk4cudaAE5v,5,
223606,D32-Rajpur 06,D32-Rajpur 06,v1lpUuTeblG,5,
223607,D32-Rajpur 09,D32-Rajpur 09,XUnN3R6XTy9,5,
223104,D32-Yamunamai 01,D32-Yamunamai 01,ovmPhbxVygx,5,
222708,D32-Yamunamai 02,D32-Yamunamai 02,SRKXaAsESCq,5,
222707,D32-Yamunamai 03,D32-Yamunamai 03,WXdhT62Q4u0,5,
222705,D32-Yamunamai 04,D32-Yamunamai 04,pk8TdIgye5V,5,
LB243,D33 Adarsha Kotwal Rural Municipality,D33 Adarsha Kotwal Rural Municipality,jgdov3l6jU1,4,
LB250,D33 Baragadhi Rural Municipality,D33 Baragadhi Rural Municipality,iuKrkDwtXSf,4,
,D33 Bishrampur Rural Municipality,D33 Bishrampur Rural Municipality,RIv1xNHjjNt,4,
LB245,D33 Devtaal Rural Municipality,D33 Devtaal Rural Municipality,JiP2gai4NNi,4,
LB238,D33 Jitpursimara Sub-Metropolitan City,D33 Jitpursimara Sub-Metropolitan City,MEJFzydYnSx,4,
LB237,D33 Kalaiya Sub-Metropolitan City,D33 Kalaiya Sub-Metropolitan City,elTl9yVygGH,4,
LB244,D33 Karaiyamai Rural Municipality,D33 Karaiyamai Rural Municipality,od29axZQYBM,4,
LB239,D33 Kolhawi Municipality,D33 Kolhawi Municipality,s81iwIY7rWl,4,
LB241,D33 Mahagadhimai Municipality,D33 Mahagadhimai Municipality,ldV4E2PsEh4,4,
LB240,D33 Nijgadh Municipality,D33 Nijgadh Municipality,LR6hCfJM3qN,4,
LB246,D33 Pacharauta Rural Municipality,D33 Pacharauta Rural Municipality,JVLTeuN4LfP,4,
LB247,D33 Parwanipur Rural Municipality,D33 Parwanipur Rural Municipality,KvtJex2PPNq,4,
LB249,D33 Pheta Rural Municipality,D33 Pheta Rural Municipality,luYHLAcmJxy,4,
LB248,D33 Prasauni Rural Municipality,D33 Prasauni Rural Municipality,f8gKN9sAiDz,4,
