15398,HARINAGAR PHC_SUNSARI,HARINAGAR PHC,xNrTuznNk5q,6,"[87.120247,26.50395]"
11684,HARINE HP_DHANUSA,HARINE HP,G3By4J6447V,6,"[86.144539,26.731239]"
14864,HARIPUR HP SAPTARI_SAPTARI,HARIPUR HP SAPTARI,AMTcyCoJIhR,6,"[86.527657,26.66955]"
15399,HARIPUR HP SUNSARI_SUNSARI,HARIPUR HP SUNSARI,ETMTF1X3DYE,6,"[86.985962,26.557581]"
14985,HARIPUR PHC _SARLAHI,HARIPUR PHC ,IEktZhgBtGC,6,"[85.570877,27.016121]"
14986,HARIPURWA HP_SARLAHI,HARIPURWA HP,Umfevj3EbYk,6,"[85.684196,26.89563]"
14781,HARISIDDHI HOSPITAL_SANKHUWASABHA,HARISIDDHI HOSPITAL,MJw7aKlCVnW,6,
13370,HARISIDDHI HP_LALITPUR,HARISIDDHI HP,LVFHUDHU0Xl,6,"[85.340378,27.634911]"
1126,HARIYON,HARIYON,POKgJpO8zZZ,5,"[[[[85.5706,27.0824],[85.5648,27.0848],[85.5513,27.0877],[85.5472,27.0819],[85.5442,27.0811],[85.5437,27.0791],[85.5347,27.0688],[85.5241,27.0645],[85.5221,27.0674],[85.5233,27.0756],[85.5247,27.0823],[85.5291,27.0899],[85.5296,27.0934],[85.5286,27.0947],[85.5195,27.0934],[85.5171,27.096],[85.5245,27.1036],[85.533,27.1064],[85.5409,27.1111],[85.5446,27.111],[85.5471,27.1133],[85.5463,27.117],[85.5571,27.117],[85.5593,27.118],[85.5759,27.1175],[85.5818,27.1207],[85.5847,27.1203],[85.583,27.1121],[85.5791,27.1085],[85.5804,27.1062],[85.5785,27.1049],[85.5785,27.0964],[85.5818,27.095],[85.5827,27.0908],[85.5762,27.0865],[85.5777,27.0845],[85.577,27.0831],[85.5754,27.0819],[85.5716,27.0833],[85.5706,27.0824]]]]"
14987,HARIYON HP_SARLAHI,HARIYON HP,IfDZDNvyXiS,6,"[85.550903,27.08918]"
14555,HARJANG HP_ROLPA,HARJANG HP,qXdNI7sFpJn,6,"[82.786247,28.316401]"
13982,HARKAPUR HP_OKHALDHUNGA,HARKAPUR HP,qaBpIr2zrbl,6,"[86.422,27.337]"
14988,HARKATHAWA HP _SARLAHI,HARKATHAWA HP ,FyKsIunVJMO,6,"[85.417,26.903]"
11933,HARMI HP_GORKHA,HARMI HP,pvElixSuf2H,6,"[84.556396,28.08272]"
12021,HARMICHAUR HP_GULMI,HARMICHAUR HP,Z7CJsy0mZiT,6,"[83.570847,27.97928]"
14667,HARNAIYA HP_RUPANDEHI,HARNAIYA HP,kuuQsdhtj1x,6,"[83.399719,27.566429]"
14245,HARPATGANJ HP_PARSA,HARPATGANJ HP,jDwVV1OXTqj,6,"[84.865646,27.05467]"
13840,HARPUR HP_NAWALPARASI,HARPUR HP,dDnJKl3Lc1P,6,"[83.691643,27.444889]"
14246,HARPUR HP_PARSA,HARPUR HP,nDClUfoln5n,6,"[84.880432,27.14782]"
12022,HARRACHAUR HP_GULMI,HARRACHAUR HP,Oyqa304uqcY,6,"[83.396523,28.13862]"
15074,HARSAHI HP_SINDHULI,HARSAHI HP,ZGVESzIzmAW,6,"[86.193367,27.001619]"
13659,HASANDAHA HP_MORANG,HASANDAHA HP,dI09j2J8n7F,6,"[87.575813,26.57983]"
11209,HASANPUR HP_BHOJPUR,HASANPUR HP_BHOJPUR,q6ro8JhWYnR,6,"[87.129211,26.94454]"
12023,HASTICHAUR HP_GULMI,HASTICHAUR HP,OsLA8FRfBq6,6,"[83.236923,28.13327]"
,Hastika Polyclinic & Diagnostic Center Pvt.Ltd. Siraha,Hastika Polyclinic & Diagnostic Center,Nyo29jA1wrD,6,
12321,HASULIYA HP_KAILALI,HASULIYA HP,StPnH7BaiTw,6,"[80.795,28.574]"
10773,HAT HP_BAITADI,HAT HP,Pq8aqDxyuxI,6,"[80.694939,29.607479]"
12462,HATHAUSA HP_KAPILBASTU,HATHAUSA HP,XOIQrbdu74z,6,"[83.151329,27.61454]"
12463,HATHIHAWA HP_KAPILBASTU,HATHIHAWA HP,FF2F3CwLZZ9,6,"[83.206146,27.45286]"
13504,HATHILET HP_MAHOTTARI,HATHILET HP,EYLjlCZEKp2,6,"[85.850456,26.93676]"
11685,HATHIPUR HARBARA HP_DHANUSA,HATHIPUR HARBARA HP,dNqjxGNGDpd,6,"[86.072456,26.71904]"
14478,HATHIYAHI HP_RAUTAHAT,HATHIYAHI HP,FBQNkM34yCL,6,"[85.249817,27.036551]"
14989,HATHIYOL HP_SARLAHI,HATHIYOL HP,yUcJ1Aqm2rs,6,"[85.348549,26.782351]"
14668,HATIBANGAI HP_RUPANDEHI,HATIBANGAI HP,JQxMP7ids4K,6,"[83.402763,27.51309]"
14669,HATIPHARSATIKAR HP_RUPANDEHI,HATIPHARSATIKAR HP,kAhvuChhYWR,6,"[83.493118,27.544741]"
13505,HATISARWA HP_MAHOTTARI,HATISARWA HP,vFKxNOeLKbe,6,"[85.857651,26.860411]"
10708,HATIYA HP_BAGLUNG,HATIYA HP,CgaOB8Exe0F,6,"[83.427597,28.21899]"
13579,HATIYA HP MAKWANPUR_MAKWANPUR,HATIYA HP MAKWANPUR,WmZVtuj5DMO,6,"[85.118011,27.38007]"
14782,HATIYA HP SANKHUWASABHA_SANKHUWASABHA,HATIYA HP SANKHUWASABHA,ZuebIVEWSK9,6,"[87.342682,27.735189]"
12338,HATKHOLI COMMUNITY HEALTH UNIT_ KAILALI,HATKHOLI COMMUNITY HEALTH UNIT,HmR98fNDpVk,6,
15075,HATPATE HP_SINDHULI,HATPATE HP,MS0U3qPH7yn,6,"[86.106163,27.041531]"
10774,HATRAJ HP_BAITADI,HATRAJ HP,OJgSJ2HShRb,6,"[80.509941,29.555281]"
12271,HATSINJA HP_JUMLA,HATSINJA HP,Y1d0kWVJGgo,6,"[82.017883,29.408689]"
11615,HATTIKHARKA HP_DHANKUTA,HATTIKHARKA HP,FgIAyKhFikf,6,"[87.338036,27.074741]"
10587,HATTIKOT HP_ACHHAM,HATTIKOT HP,IvWex75EsHs,6,"[81.237862,29.264721]"
13660,HATTIMUDA HP_MORANG,HATTIMUDA HP,WWCo76Mpxn7,6,"[87.302353,26.56662]"
13296,HAUNCHUR HP_KHOTANG,HAUNCHUR HP,ieseIpOegqQ,6,"[86.744949,27.2955]"
11777,HAWA HP_DOLAKHA,HAWA HP,BX0UVXaXTXG,6,"[86.169479,27.560749]"
12762,HEAL NEPAL _KATHMANDU,HEAL NEPAL ,lf9RpWAsaNU,6,
12763,HEALTH CARE CLINIC _KATHMANDU,HEALTH CARE CLINIC ,MfIQL2oaPnK,6,
12764,HEALTH CARE DIAGNOSTIC CENTER_KATHMANDU,HEALTH CARE DIAGNOSTIC CENTER,idUOyOcxzyj,6,
10916,HEALTH CARE RESEARCH CENTRE NEPALGUNJ MUNICIPALITY_BANKE,HEALTH CARE RESEARCH CENTRE NEPALGUNJ MUNICIPALITY,LYyhTsPoTm4,6,
,"Health Polyclinic Pvt.Ltd, Siraha","Health Polyclinic Pvt.Ltd, Siraha",pfuajSDbliW,6,
,"Healthy Dental Clinic, Kathmandu","Healthy Dental Clinic, Kathmandu",wAK7H6BJjsL,6,
12765,HEALTHY LIFE INTERNATIONAL MEDICAL CENTER PVT_KATHMANDU,HEALTHY LIFE INTERNATIONAL MEDICAL CENTER PVT,b6ZkwlHFEo5,6,
12766,HEALTHY SMILES PVT_KATHMANDU,HEALTHY SMILES PVT,obQKAF9eaTU,6,
12767,HEART CLINIC _KATHMANDU,HEART CLINIC ,hORqH0fyH18,6,
13580,HEATUDA COMMUNITY HOSPITAL_MAKWANPUR,HEATUDA COMMUNITY HOSPITAL,cZZvTWHIhjw,6,
13581,HEATUDA EVEREST DENTAL_MAKWANPUR,HEATUDA EVEREST DENTAL,Run82qlK3uE,6,
13593,HEATUDA HOSPITAL_ MAKWANPUR,HEATUDA HOSPITAL,FfqjUkvHaq2,6,"[85.036209,27.419571]"
15844,HECAF � NEPAL,HECAF � NEPAL,jkZTZHGZWB2,6,
14056,HEKLANG HP_PALPA,HEKLANG HP,FXzOzT8B0YT,6,"[83.739571,27.86018]"
11460,HEKULI HP_DANG,HEKULI HP,N0UrN8nq2H3,6,"[82.204819,28.095881]"
11210,HELAUCHHA HP_BHOJPUR,HELAUCHHA HP_BHOJPUR,jiwAaTHCjTG,6,"[87.081863,27.25544]"
10588,HELP NEPAL HEATH POST_ACHHAM,HELP NEPAL HEATH POST,zWvGRonX0EK,6,
15873,Help Nepal Mental Hospital_ Chitwan,Help Nepal Mental Hospital,r4FKXpFZAbX,6,
,"HELP to HELP Nepal, Tanahu","HELP to HELP Nepal, Tanahu",HAw2xZaQxxS,6,
14173,HELPING HANDS_PARBAT,HELPING HANDS,rveUNyfo2fG,6,
12768,HELPING HANDS COMMUNITY HOSPITAL _KATHMANDU,HELPING HANDS COMMUNITY HOSPITAL ,DdhdIu8ufId,6,"[85.345787,27.71587]"
12769,HELPING HEALTH DIAGNOSTIC CENTER PVT LTD_KATHMANDU,HELPING HEALTH DIAGNOSTIC CENTER PVT LTD,fkIPHBI6WYx,6,
16222,HELPING HEALTH MEDICAL CENTER PVT_ KATHMANDU,HELPING HEALTH MEDICAL CENTER PVT,GfiYQKQINMU,6,
12770,HELPING HEALTH POLY CLINIC PVT LTD_KATHMANDU,HELPING HEALTH POLY CLINIC PVT LTD,ESJUKsi8L3X,6,
15153,HELUMBU HP_SINDHUPALCHOK,HELUMBU HP,emH7SUOfPDg,6,"[85.548073,27.953659]"
10835,HEMANTABADA HP_BAJHANG,HEMANTABADA HP,RAVN5KxDfgf,6,"[81.205597,29.54697]"
12531,HEMJA HP_KASKI,HEMJA HP,DB5AxxR1kEi,6,"[83.936401,28.278111]"
14990,HEMPUR HP_SARLAHI,HEMPUR HP,sL4hJXriOtU,6,"[85.519257,26.95122]"
12075,HEPKA HP_HUMLA,HEPKA HP,ScbHGA6TXSe,6,"[81.801964,30.0338]"
13582,HETAUDA CEMENT _MAKWANPUR,HETAUDA CEMENT ,Fu3I61d0fjO,6,
13583,HETAUDA CHAUGHADA HP_MAKWANPUR,HETAUDA CHAUGHADA HP,LFvl5Gmu4Ne,6,"[85.06945,27.40733]"
